Colonia,El patrimonio,La familia,La libertad y la seguridad sexual,La vida y la integridad corporal,Superficie en kilómetros cuadrados,Población femenina,Población masculina,Niños 3 - 14 años,Población en hogares censales indígenas,Población con discapacidad,Población que no asiste a la escuela,Población de 12 años y más no económicamente activa,Población de 12 años y más desocupada,Viviendas sin medio de transporte,Viviendas sin tecnologías
1 DE MAYO,78,26,7,20,"351.017,92","1,454","1,379",846,27,208,273,874,14,307,2
12 DE DICIEMBRE,33,21,3,9,"153.512,05",996,981,750,317,41,224,513,15,213,6
18 DE MARZO,647,41,7,31,"620.354,35","2,612","2,358","1,046",19,312,482,"1,725",67,434,4
20 DE NOVIEMBRE,240,44,8,51,"192.638,29","2,452","2,377","1,563",16,214,526,"1,241",41,538,8
27 DE SEPTIEMBRE,27,5,0,3,"496.344,18","1,029",906,539,16,106,229,562,16,202,5
3 FLORES,2,1,0,0,"874.024,19",66,52,43,0,4,5,26,0,6,0
4 ESTACIONES,68,26,2,13,"243.466,24","1,913","1,917","1,62",16,139,424,976,21,439,6
5 DE MAYO,399,75,16,73,"29.178,76","6,611","6,327","3,858",62,748,"1,185","3,605",86,"1,273",11
5 DE NOVIEMBRE,4,0,0,0,"153.844,29",292,287,267,69,11,67,109,6,79,3
8 DE JULIO,830,26,9,32,"261.599,72","1,434","1,22",514,17,185,238,759,20,286,7
AARON JOAQUIN,232,22,9,23,"377.105,78","3,271","3,105","1,813",53,338,747,"1,815",57,546,8
ABADIA SAN MARTIN,1,0,0,0,"68.389,52",0,0,0,0,0,0,0,0,0,0
ACUEDUCTO SAN AGUSTIN,15,0,0,0,"109.277,93",10,16,3,0,1,1,1,1,4,0
ACUEDUCTO SAN JAVIER,2,0,0,1,"41.803,77",131,144,82,0,5,20,70,0,8,0
AGRARIA,88,2,0,3,"67.076,70",265,228,108,6,8,48,118,6,16,1
AGRICOLA,235,23,8,33,"280.241,23","1,729","1,697","1,093",195,192,311,885,28,363,1
AGUA BLANCA,24,5,0,10,"964.765,98",0,0,0,0,0,0,0,0,0,0
AGUA BLANCA INDUSTRIAL,103,12,5,20,"77.064,98",261,225,123,0,15,90,133,6,41,0
AGUA BLANCA POBLADO,187,11,4,12,"120.550,70",678,624,423,81,83,139,435,12,134,5
AGUA BLANCA SUR,56,7,1,9,"620.958,79",190,184,82,36,17,69,122,5,30,5
AGUA ESCONDIDA,61,9,4,19,"25.564,45","1,05","1,012",865,62,62,236,494,16,229,5
AGUA FRIA,96,45,28,29,"99.800,94","4,309","4,184","2,46",79,319,665,"1,766",50,870,15
AGUSTIN YAÃ‘EZ (LA FLORIDA),446,62,7,52,"99.800,94","4,309","4,184","2,46",79,319,665,"1,766",50,870,15
ALAMEDA,60,9,4,11,"140.879,67","1,231","1,253",869,3,189,262,635,22,244,0
ALAMEDAS DE TESISTAN,4,4,0,2,"499.500,10",271,233,166,0,15,64,152,2,37,0
ALAMEDAS DE ZALATITAN,463,116,35,100,"1.729.975,05","7,98","8,002","5,67",53,689,"1,673","4,306",114,"1,8",13
ALAMITOS,8,3,1,1,"195.264,58",27,27,24,5,1,3,11,1,3,0
ALAMO INDUSTRIAL,647,8,5,30,"1.038.539,25",543,554,323,5,22,114,289,8,72,5
ALAMO LOMAS,76,8,0,12,"2.549.614,67",483,443,154,7,55,79,293,6,73,0
ALAMO ORIENTE,107,15,2,21,"136.569,51","1,425","1,331",657,9,134,292,879,19,262,1
ALBATERRA,7,3,1,0,"1.294.536,38",0,0,0,0,0,0,0,0,0,0
ALBORADA,145,6,2,21,"285.201,52",343,352,275,0,22,80,171,2,75,1
ALCALDE BARRANQUITAS,540,39,8,37,"1.434.417,85","3,613","3,309","1,285",15,352,692,"2,189",51,778,1
ALDAMA TETLAN,539,70,14,81,"803.081,80","6,778","6,525","4,015",42,799,"1,368","3,527",48,"1,46",9
ALFARERA,4,0,0,1,"795.354,13",0,0,0,0,0,0,0,0,0,0
ALFAREROS,8,2,0,2,"134.304,97",163,190,153,0,27,22,86,1,41,0
ALFREDO BARBA,96,18,6,19,"607.791,11","2,398","2,428","1,732",66,233,507,"1,231",17,536,4
ALTA LOMA,3,0,0,1,"297.405,20",531,526,244,4,28,73,164,3,69,1
ALTAGRACIA,148,25,10,24,"965.681,80","3,071","2,753","1,643",43,192,660,"1,438",40,"1,096",9
ALTALUZ,2,0,0,0,"102.973,39",0,0,0,0,0,0,0,0,0,0
ALTAMIRA,314,37,20,59,"548.340,59",54,46,19,0,3,9,15,0,0,0
ALTARA,1,1,0,0,"238.271,26",14,8,6,0,0,0,1,0,0,0
ALTEA,3,1,0,0,"91.228,12",587,576,326,4,15,75,225,12,17,1
ALTIPLANO,3,5,0,1,"131.793,06",0,0,0,0,0,0,0,0,0,0
ALTOS NORTE,63,11,2,8,"429.825,45","1,844","1,746","1,025",0,160,403,990,19,292,1
ALTOS ORIENTE,26,6,1,8,"60.071,70",939,851,484,15,158,158,557,12,206,1
ALTUS BOSQUES,10,4,0,4,"471.685,51",0,0,0,0,0,0,0,0,0,0
ALTUS QUINTAS,3,2,0,1,"506.334,08",431,441,338,4,18,105,236,4,36,0
ALVAREZ DEL CASTILLO,27,8,3,6,"214.149,54",405,412,283,18,19,126,268,9,59,6
ALVARO OBREGON,44,10,1,30,"154.438,62",951,922,693,13,40,206,535,1,259,0
ALVIENTO,1,0,0,0,"22.455,19",298,279,179,9,21,41,103,1,12,0
AMARANTO,6,0,0,2,"402.929,70",635,615,436,14,28,125,268,8,62,1
AMERICANA,3001,30,14,106,"62.439,82","1,935","1,905",400,37,170,352,841,40,452,24
AMPLIACION SANTA LUCIA,26,18,10,13,"44.332,18","2,193","2,208","1,698",172,206,463,"1,162",49,471,9
ANALCO,266,42,6,47,"340.588,37","1,593","1,464",699,64,128,306,823,22,527,3
ARANDAS,129,29,3,25,"274.670,63","2,985","2,796","1,461",4,278,558,"1,858",37,445,3
ARAUCA I,0,1,0,0,"290.762,93",0,0,0,0,0,0,0,0,0,0
ARBOLADA BOSQUES DE SANTA ANITA,59,1,3,2,"1.355.205,74",230,232,163,5,3,33,123,2,7,0
ARBOLEDA,64,10,2,7,"848.539,03","1,297","1,258",663,20,247,205,488,12,371,4
ARBOLEDAS DE SAN GASPAR,49,11,5,10,"431.906,54",661,652,467,6,24,135,300,8,162,7
ARBOLEDAS DE SAN MARTIN,37,17,6,7,"1.177.625,93","1,219","1,274","1,192",5,99,292,624,45,317,1
ARBOLEDAS DE TESISTAN,2,3,0,0,"1.097.645,98",311,292,203,6,13,84,152,4,18,2
ARBOLEDAS DEL ZAPOTE,7,1,0,4,"6.100,68",137,154,141,4,7,57,74,3,27,3
ARBOLEDAS SUR,144,12,2,14,"889.654,28","1,637","1,505",785,21,163,331,869,34,307,1
ARCOS,133,4,0,0,"298.760,50",199,215,34,8,21,27,95,4,15,2
ARCOS DE GUADALUPE,294,27,1,15,"519.169,03","1,969","1,869",513,21,117,363,"1,291",18,72,1
ARCOS DE LA CRUZ,54,14,3,5,"1.061.290,23",498,524,324,7,15,122,263,4,60,1
ARCOS DE SAN SEBASTIAN,14,11,1,5,"234.167,04",267,275,181,1,14,41,120,5,94,2
ARCOS DE ZALATITAN,57,5,2,10,"245.632,51",794,782,648,15,37,179,419,12,126,1
ARCOS DE ZALATITAN II,23,4,2,4,"96.071,28",403,388,275,4,69,95,228,2,78,0
ARCOS DE ZAPOPAN,660,56,13,69,"218.132,09","7,658","6,933","3,625",75,607,"1,463","4,106",140,"2,083",7
ARCOS VALLARTA,1490,25,8,44,"1.715.689,74",859,792,183,19,74,131,423,16,104,6
ARENA,11,4,2,2,"189.452,73",822,841,578,6,103,187,514,13,199,7
ARENALES TAPATIOS,358,132,32,106,"1.502.261,19","10,64","10,447","6,697",552,848,"2,186","4,461",142,"2,295",20
ARMONIA,9,0,0,0,"32.344,85",101,87,20,0,0,18,50,1,1,0
ARRAYANES HABITAT,0,1,0,0,"1.941.264,70",467,466,283,4,7,63,78,2,4,1
ARROYO DE ENMEDIO,18,3,1,3,"296.143,69",293,307,278,0,5,68,104,1,88,5
ARROYO HONDO,255,74,14,53,"438.331,80","3,443","3,347","2,255",38,270,659,"1,964",38,877,7
ARROYO LAS FLORES,74,24,6,36,"123.855,43","3,128","3,19","2,069",108,177,676,"1,733",47,808,6
ARROYO SECO,77,17,3,11,"109.852,45",597,601,285,6,50,152,338,5,79,0
ARTESANOS,491,47,11,81,"120.061,62","3,774","3,687","2,512",38,366,815,"2,163",50,913,20
ARTESANOS (SAGRADA FAMILIA Y/O JESUS),997,65,15,90,"284.761,94","6,423","5,715","2,38",159,651,"1,143","3,283",74,"1,899",9
ARVENTO,142,37,8,23,"536.546,08","6,314","6,124","5,248",140,424,"1,191","3,05",112,"2,496",23
ATEMAJAC DEL VALLE,530,69,17,63,"452.414,52","5,134","4,846","2,554",111,497,930,"2,579",49,"1,131",10
ATEQUIZA,68,29,3,18,"125.697,79","3,426","3,24","2,091",73,298,876,"2,24",82,602,30
ATLAS,869,95,15,94,"113.868,42","8,328","7,657","3,548",37,846,"1,682","5,282",87,"2,151",8
ATLAS CHAPALITA,49,3,1,1,"100.251,66",271,270,63,1,8,34,94,13,79,0
ATLAS COLOMOS,12,0,1,0,"100.325,05",496,458,123,0,25,122,381,6,4,0
AUDITORIO,429,30,7,40,"81.777,94","1,577","1,46",640,5,209,333,928,22,270,1
AUTOCINEMA,172,11,4,8,"85.340,75","1,516","1,388",651,4,107,312,988,11,199,2
AUTODROMO,8,0,0,1,"1.515.462,32",4,3,0,0,0,0,0,0,0,0
AYAMONTE,1,0,0,0,"1.421.118,05",0,0,0,0,0,0,0,0,0,0
AYUNTAMIENTO,231,15,3,5,"129.903,71","1,51","1,431",383,10,172,245,942,18,272,2
AZALEAS,9,0,1,0,"107.737,60",275,256,75,0,9,81,234,1,4,1
BAJA CALIFORNIA,96,9,1,10,"27.921,56","1,163","1,188",937,19,116,232,591,21,227,9
BAJIO O BARRIO POBRE,0,0,0,1,"1.304.547,36",243,217,149,0,22,37,117,6,57,1
BALCONES DE HUISQUILCO,42,16,1,5,"165.108,36","2,517","2,515","1,563",7,242,448,"1,255",56,345,6
BALCONES DE LA CALERA,26,4,0,3,"42.600,84",0,0,0,0,0,0,0,0,0,0
BALCONES DE LA CANTERA,88,56,11,38,"142.359,39","4,325","4,12","2,951",30,476,759,"2,287",71,"1,036",4
BALCONES DE LA JOYA,2,2,0,0,"335.515,02",226,193,166,0,5,46,128,2,16,0
BALCONES DE OBLATOS,261,86,10,65,"586.049,01","6,006","5,861","3,63",40,686,"1,193","3,451",77,"1,47",22
BALCONES DE SANTA ANITA,40,9,3,13,"622.838,65","1,233","1,139",887,4,92,304,619,30,328,4
BALCONES DE SANTA CRUZ,10,2,3,0,"89.575,83",118,107,86,0,7,23,61,1,18,0
BALCONES DE SANTA MARIA,316,40,8,25,"1.655.374,30","4,843","4,842","2,363",67,286,"1,191","2,172",75,"1,134",2
BALCONES DE TLAJOMULCO,5,0,1,1,"144.454,12",110,113,75,0,1,32,55,2,17,0
BALCONES DEL CUATRO,83,35,6,35,"456.105,69","1,871","1,882","1,332",17,222,357,"1,084",41,469,2
BALCONES DEL ROSARIO,44,3,3,4,"687.119,43",669,663,471,3,65,134,306,9,123,2
BALCONES DEL ROSARITO,50,8,2,6,"1.289.060,28",816,764,567,22,68,162,391,23,191,5
BALCONES DEL SOL,78,21,6,19,"386.215,88","2,271","2,219","1,557",249,233,473,"1,094",32,510,5
BALCONES Y/O PRADOS DE HUENTITAN,14,3,1,5,"112.962,48",686,616,463,0,17,179,350,4,114,0
BANUS,38,18,2,7,"77.897,68",970,970,592,17,30,191,538,9,89,0
BARRAGAN HERNANDEZ,142,14,5,24,"387.880,18","1,232","1,148",609,20,99,212,628,10,365,4
BARRIO NUEVO,63,1,0,7,"191.497,67",457,462,318,10,64,81,241,9,99,2
BARRIOS UNIDOS INTERCOLONIAS,5,2,1,1,"1.085.543,53",738,709,565,7,46,185,330,9,180,3
BASE AEREA MILITAR NO 5,125,7,1,4,"745.742,08",543,"1,353",363,47,32,"1,341",807,27,52,27
BASILIO BADILLO,482,85,17,58,"745.742,08",543,"1,353",363,47,32,"1,341",807,27,52,27
BEATRIZ HERNANDEZ,372,45,4,46,"364.256,45","4,596","4,127","2,508",23,385,895,"2,494",64,917,5
BELENES NORTE,195,11,5,10,"121.495,78",455,409,252,5,54,87,225,4,96,1
BELISARIO DOMINGUEZ,803,85,12,100,"1.202.626,95","4,572","4,192","2,124",32,453,850,"2,6",64,999,9
BELLATERRA,7,1,0,1,"272.667,53",621,582,374,3,10,105,273,5,12,0
BELLAVISTA,15,5,1,2,"348.845,84",106,108,65,1,6,32,73,1,8,1
BENITO JUAREZ,497,122,24,102,"330.095,98","3,806","3,493","2,171",46,481,749,"2,055",40,838,11
BLANCO Y CUELLAR,555,60,17,71,"857.903,70","5,369","4,98","2,694",86,537,"1,012","2,899",47,"1,384",7
BONANZA,40,14,2,10,"198.900,31",713,654,460,8,17,182,449,6,22,0
BONITO JALISCO,28,12,2,13,"423.244,78","1,086","1,103",882,11,50,232,665,20,293,0
BOSQUE CEDROS SANTA ANITA,61,6,0,2,"926.379,79",297,272,173,2,7,73,149,6,7,2
BOSQUE DE LOS COLOMOS,7,0,0,0,"926.379,79",297,272,173,2,7,73,149,6,7,2
BOSQUE DE LOS LAGOS,0,0,0,1,"73.991,67",72,69,45,2,2,36,57,3,2,2
BOSQUE DE LOS VIRREYES,15,1,1,1,"34.469,19",98,93,33,1,1,33,80,2,1,1
BOSQUE DE VALDEPEÃ‘AS,1,1,0,0,"34.469,19",98,93,33,1,1,33,80,2,1,1
BOSQUE DEL CENTINELA II,5,0,0,0,"82.672,44",676,611,372,4,15,171,288,6,35,3
BOSQUE ESCONDIDO,11,3,0,8,"159.054,43",539,470,260,4,8,143,285,4,82,0
BOSQUE REAL DE SANTA ANITA,3,1,1,0,"242.901,28",279,277,176,0,1,74,158,0,2,0
BOSQUES DE LA ESPERANZA,30,9,0,3,"204.043,02",383,380,311,5,27,81,232,7,83,1
BOSQUES DE LA VICTORIA,822,21,4,12,"435.674,58","2,166","2,011",689,13,200,367,"1,19",18,136,2
BOSQUES DE SAN GONZALO,5,1,0,0,"398.156,89",344,367,261,1,10,71,123,2,9,1
BOSQUES DE SAN MARTIN,8,3,0,1,"336.218,71",113,120,96,0,2,27,56,0,40,1
BOSQUES DE SANTA ANITA,19,3,0,3,"446.975,84","1,33","1,33",852,4,36,365,947,16,18,2
BOSQUES DE TONALA,124,22,3,24,"114.298,56","2,028","1,958","1,294",10,201,493,908,24,421,4
BOSQUES DEL BOULEVARD,85,6,0,4,"759.714,79",822,764,363,1,75,172,537,11,167,1
BOSQUES DEL CENTINELA,133,19,1,12,"195.779,36","1,584","1,523",834,11,69,466,783,21,269,1
BOSQUES DEL ENCINO,2,4,0,1,"432.223,11",368,341,261,9,21,82,151,2,39,0
BOSQUES DEL SOL,6,1,0,2,"1.435.048,48",0,0,0,0,0,0,0,0,0,0
BOSQUES VALLARTA,6,0,0,0,"171.171,72",625,644,418,3,13,169,351,6,11,3
BRISAS DE CHAPALA,49,8,1,7,"219.759,61",546,565,357,43,52,105,303,7,104,0
BRISAS DE LA PRIMAVERA,5,4,1,8,"27.008,20",493,509,334,18,42,102,230,9,175,10
BRISAS DEL NILO,10,5,2,0,"784.776,38",259,256,177,16,27,57,150,2,51,0
BUENA MIRADA,24,2,1,0,"105.976,31",116,102,83,0,15,17,67,2,20,1
BUENAVISTA,133,25,5,31,"588.662,00",88,79,68,0,4,26,64,0,5,1
BUENOS AIRES,124,71,14,66,"392.486,20",196,184,154,0,5,41,115,5,38,0
BUGAMBILIAS,3,0,0,0,"532.679,91",21,24,5,0,0,3,13,0,3,1
BUGAMBILIAS COUNTRY,36,6,2,2,"243.397,29",82,91,46,1,3,13,50,0,3,0
CAÃ‘ADA DEL SOL,6,0,0,0,"243.397,29",82,91,46,1,3,13,50,0,3,0
CAÃ‘ADAS DE SAN LORENZO,11,2,0,1,"243.397,29",82,91,46,1,3,13,50,0,3,0
CABAÃ‘ITAS,32,21,3,16,"243.397,29",82,91,46,1,3,13,50,0,3,0
CAJITITLAN,132,15,5,30,"573.888,29","2,567","2,47","1,814",21,308,581,"1,532",33,627,18
CALLEJON DEL BOSQUE,1,2,1,0,"347.634,69",212,223,150,0,10,37,97,4,14,0
CALLEJON DEL PARQUE,10,5,0,1,"463.217,28",348,314,127,4,23,96,178,1,5,0
CAMICHIN SANTA ANITA,7,0,0,1,"563.281,20",278,297,159,6,9,87,194,0,7,0
CAMICHINES,390,41,4,34,"436.376,75","4,402","4,084","2,291",51,337,"1,072","2,566",37,773,4
CAMICHINES II,99,28,4,15,"150.439,09","2,101","2,123","1,146",1,185,539,"1,097",34,430,4
CAMICHINES III,34,5,0,3,"723.010,71",469,459,318,0,39,103,242,12,88,2
CAMICHINES VALLARTA,722,3,0,12,"305.876,89",306,293,68,4,10,59,206,1,25,0
CAMINO REAL,329,26,6,17,"666.187,71",0,0,0,0,0,0,0,0,0,0
CAMPO BELLO,125,48,9,21,"64.098,31","4,491","4,407","3,666",118,239,895,"1,946",87,"1,806",9
CAMPO REAL,45,24,1,14,"141.103,17","3,503","3,433","2,122",14,114,678,"1,755",32,198,1
CAMPO SUR,16,3,0,6,"42.409,94",171,171,121,1,6,42,93,4,11,1
CANAL 58,62,24,0,20,"162.087,38",943,936,564,0,75,171,562,6,216,2
CANTARRANAS,194,24,1,21,"291.603,28","2,006","1,927",997,3,174,370,"1,109",18,416,2
CANTERA COLORADA,12,1,1,0,"674.854,87",870,826,573,19,40,235,437,9,206,6
CANTERA MORADA,40,13,4,7,"198.024,59",619,605,425,14,101,114,370,17,154,0
CANTERAS DEL CENTINELA,19,4,1,1,"249.632,56",477,453,237,7,16,103,226,4,19,2
CANTEROS,29,12,7,8,"491.671,79",726,747,432,0,62,123,402,5,152,0
CARDENAS DEL RIO,20,10,2,9,"238.220,12","1,133","1,178",917,51,56,232,599,14,271,9
CARLOS RIVERA ACEVES,27,30,6,15,"1.765.919,79","2,321","2,342","1,829",678,171,567,985,25,540,4
CASA BLANCA,26,7,2,6,"249.082,77",494,492,422,0,23,133,230,6,176,4
CEIBAS,0,1,0,0,"194.318,21",222,210,149,0,3,43,96,1,4,0
CENTRO,3521,355,128,494,"453.906,48","4,615","4,28","2,236",75,496,856,"2,802",77,"1,377",18
CENTRO BARRANQUITAS,459,23,8,43,"403.039,71","1,852","1,777",696,20,211,354,927,23,622,1
CERRITO DE BUENOS AIRES,1,0,0,0,"432.173,24",0,0,0,0,0,0,0,0,0,0
CERRO DEL CUATRO,266,40,13,49,"322.658,11","3,888","3,794","2,725",75,395,799,"2,152",89,"1,003",11
CERRO DEL GATO,0,0,0,3,"322.658,11","3,888","3,794","2,725",75,395,799,"2,152",89,"1,003",11
CERRO DEL JAGUEY,25,2,0,3,"196.094,96",156,159,115,0,16,28,72,0,30,1
CERRO DEL TESORO,13,0,0,2,"139.326,29",44,38,25,0,1,9,26,0,5,0
CHAPALITA,1285,33,6,30,"162.867,86","2,683","2,715",599,33,186,569,"2,059",24,265,4
CHAPALITA DE OCCIDENTE,93,4,0,5,"1.034.604,72",383,337,106,0,23,62,255,6,9,0
CHAPALITA INN,199,15,1,20,"1.055.699,69",770,726,216,0,9,145,311,3,43,0
CHAPALITA LAS FUENTES,8,3,1,1,"161.620,64",585,534,159,1,13,116,335,11,8,0
CHAPALITA ORIENTE,524,10,1,10,"55.795,21",605,505,139,14,57,96,380,7,51,3
CHAPALITA SUR,249,8,3,4,"116.447,10","1,03",910,289,21,107,143,702,9,77,1
CHAPULTEPEC COUNTRY,195,8,4,4,"375.192,24",632,537,142,12,27,100,354,4,89,0
CHULAVISTA E1,847,262,55,295,"375.192,24",632,537,142,12,27,100,354,4,89,0
CIELITO LINDO,21,4,2,4,"192.282,61","1,222","1,117",1,48,35,239,512,33,503,1
CIHUALPILLI,13,8,0,5,"146.919,84",613,595,480,8,20,165,300,8,125,0
CIMA DEL SOL,42,40,7,16,"118.565,92","1,62","1,652","1,546",26,68,340,775,30,520,4
CIMA REAL,21,3,0,1,"503.502,36",0,0,0,0,0,0,0,0,0,0
CIMA SERENA,55,24,3,15,"1.069.612,26","4,666","4,535","3,529",96,237,"1,014","1,88",98,"2,027",11
CIMEG,7,0,1,4,"340.108,97",0,0,0,0,0,0,0,0,0,0
CIRCUNVALACION AMERICAS,82,3,0,3,"41.888,31",144,158,32,0,4,32,84,0,10,0
CIRCUNVALACION BELISARIO,247,58,10,32,"730.785,94","4,714","4,476","2,274",89,596,943,"2,943",74,"1,19",12
CIRCUNVALACION OBLATOS,930,30,10,44,"528.962,35","2,734","2,619","1,347",35,242,609,"1,43",22,434,9
CIRCUNVALACION VALLARTA,197,7,0,7,"355.141,83",818,722,162,3,72,114,485,20,74,2
CITALA 3,0,1,0,0,"1.525.097,99",375,330,174,0,10,52,135,4,11,0
CIUDAD AZTLAN,406,46,4,52,"351.946,92","3,113","2,991","1,932",38,384,619,"1,562",54,610,8
CIUDAD BUGAMBILIAS,523,38,6,32,"120.174,40","7,188","6,777","2,895",69,379,"1,719","4,699",92,131,6
CIUDAD DE LOS NIÃ‘OS,223,6,2,3,"120.174,40","7,188","6,777","2,895",69,379,"1,719","4,699",92,131,6
CIUDAD DEL SOL,954,20,4,29,"487.557,88","2,12","2,029",550,20,174,382,"1,36",22,134,6
CIUDAD GRANJA,710,32,12,50,"56.653,74","6,766","6,218","3,185",213,443,"1,7","3,656",64,647,12
CLUB DE GOLF ATLAS,58,4,0,4,"304.060,11",410,450,154,1,28,134,300,3,10,1
COFRADIA,14,9,0,9,"665.633,80",0,0,0,0,0,0,0,0,0,0
COL BOSQUE DEL CLUB,1,0,0,0,"161.549,43",0,0,0,0,0,0,0,0,0,0
COLEGIO DEL AIRE,43,9,1,3,"17.893,69",819,800,474,6,31,219,408,14,75,3
COLIMILLA,7,3,1,0,"607.263,72",0,0,0,0,0,0,0,0,0,0
COLINA DE LOS BELENES,39,4,1,8,"1.185.608,28",383,369,202,1,32,92,202,9,43,1
COLINA REAL,14,7,1,6,"254.275,65","1,319","1,329","1,197",154,48,238,588,24,504,9
COLINAS DE ALTAMIRA,5,1,0,0,"1.028.136,55",314,328,281,17,13,69,141,2,75,1
COLINAS DE ATEMAJAC,176,13,2,9,"123.229,45","1,579","1,486",648,3,128,283,"1,036",18,134,1
COLINAS DE CRISTO REY,4,1,0,0,"265.177,25",218,223,196,12,14,45,138,1,36,2
COLINAS DE HUENTITAN,93,22,8,28,"379.939,12","2,245","2,182","1,439",1,113,499,982,26,330,1
COLINAS DE LA CRUZ,66,18,1,10,"3.267.084,42","1,647","1,589","1,313",73,98,317,736,33,666,5
COLINAS DE LA NORMAL,335,14,2,4,"1.787.597,51","1,962","1,73",557,6,179,370,"1,381",51,234,2
COLINAS DE LA PRIMAVERA,71,38,5,13,"270.042,91","2,426","2,378","1,648",193,130,472,"1,16",9,541,5
COLINAS DE LAS AGUILAS,157,8,2,7,"45.177,55","1,223","1,13",448,10,102,232,836,6,142,0
COLINAS DE LOS ROBLES,28,16,3,11,"75.357,52","1,249","1,219",712,104,138,269,659,4,223,3
COLINAS DE SAN CARLOS,10,7,3,4,"159.306,18",781,791,495,28,62,184,410,9,177,2
COLINAS DE SAN JAVIER,76,7,1,6,"38.740,35",545,489,182,6,36,135,322,6,22,0
COLINAS DE SANTA ANITA,20,1,2,0,"165.483,69",0,0,0,0,0,0,0,0,0,0
COLINAS DE TABACHINES,13,8,1,4,"95.109,18",568,594,352,0,59,107,331,9,116,0
COLINAS DE TESISTAN,5,0,1,0,"20.440,69",6,6,7,1,1,5,2,1,1,1
COLINAS DE TONALA,51,18,0,7,"215.780,89","4,191","4,213","3,289",19,182,663,"1,556",34,358,2
COLINAS DEL REY,86,14,2,14,"1.151.272,29","1,058",962,426,5,61,293,637,13,91,1
COLINAS DEL RIO,13,6,3,6,"34.920,83",554,554,379,3,28,128,327,10,129,6
COLINAS DEL ROBLE,87,38,8,36,"221.843,60",875,904,781,25,65,155,459,7,281,7
COLINAS DEL SOL,15,2,0,2,"44.666,68",0,0,0,0,0,0,0,0,0,0
COLINAS DESARROLLO,14,5,1,6,"274.568,43",0,0,0,0,0,0,0,0,0,0
COLINAS EL CENTINELA,0,1,0,0,"583.603,57",108,113,50,0,3,50,66,0,15,0
COLINAS RESIDENCIAL,1,1,0,0,"91.452,22",216,185,104,0,10,61,136,0,15,0
COLLI,8,0,0,0,"349.754,91",0,3,0,0,0,0,0,0,1,0
COLLI CTM,172,15,2,15,"570.538,43","2,796","2,549","1,269",13,269,475,"1,758",46,648,0
COLLI PRIMAVERA,74,6,0,7,"1.706.427,66",819,756,336,1,99,133,532,7,170,1
COLLI SITIO,9,3,2,7,"427.687,51",623,626,387,15,101,82,357,7,128,1
COLOMOS,167,4,2,18,"268.089,70",863,791,204,18,36,185,583,3,83,0
COLOMOS PROVIDENCIA,253,14,2,12,"83.692,98","2,07","1,68",536,25,68,400,"1,15",27,82,2
COLON,151,12,4,9,"261.451,25","2,034","1,787",765,34,386,381,944,23,309,3
COLON INDUSTRIAL,511,31,5,23,"611.450,68","2,463","2,135",852,8,278,538,"1,692",16,372,2
COLONIAL TLAQUEPAQUE,368,25,5,26,"55.043,16","2,153","1,928","1,029",10,167,411,"1,272",33,363,2
COLORADO,3,2,1,2,"116.705,52",348,348,251,33,26,72,157,6,56,5
COLORINES,0,1,1,0,"902.346,31",124,127,83,0,8,24,57,0,20,0
COMERCIAL ABASTOS,461,10,5,40,"184.747,70",9,73,10,2,2,11,2,2,6,3
COMOLEA,16,7,1,6,"466.951,00",703,702,480,19,37,159,357,3,163,0
CONCEPCION DEL VALLE (LA CONCHA),165,6,2,33,"1.206.594,62",582,567,369,9,30,163,355,16,143,9
CONCHITAS,16,5,0,2,"389.529,10",410,381,321,0,13,96,226,5,99,1
CONDOMINIO CAMPO DE GOLF SANTA ANITA,53,10,3,11,"101.803,77",0,0,0,0,0,0,0,0,0,0
CONJUNTO PATRIA,125,5,0,5,"193.593,95",689,667,204,11,17,130,366,5,22,0
CONSTANCIO HDEZ ALVIRDE,33,7,3,4,"3.648.798,83",784,715,583,45,80,126,414,10,180,0
CONSTITUCION,904,192,23,176,"399.295,82",314,323,269,1,25,64,136,1,27,1
CONSTITUYENTES,16,4,2,1,"109.564,91",942,902,436,9,71,189,564,19,187,0
COPALA,8,2,2,2,"370.280,54",0,0,0,0,0,0,0,0,0,0
COPALITA,9,8,2,4,"442.785,56",0,0,0,0,0,0,0,0,0,0
CORDILLERAS,109,5,1,8,"510.595,66","1,297","1,213",627,32,61,237,683,9,156,0
CORRECCIONAL,50,10,0,15,"1.324.554,55",819,717,429,7,112,142,488,8,192,3
CORTIJO SAN AGUSTIN,41,8,2,7,"498.989,26",21,19,13,0,0,5,5,0,1,0
COUNTRY CLUB,136,7,1,5,"288.331,59","1,705","1,596",529,11,70,309,951,11,88,4
COYULA,315,35,11,36,"150.285,93","2,418","2,395","1,884",11,186,526,"1,488",33,590,17
CRISTAL,0,2,0,0,"760.325,34",52,39,24,0,3,20,34,0,1,0
CRISTO REY,26,7,6,11,"832.861,38","1,201","1,245",996,20,88,347,676,12,242,5
CRUCERO CENTRAL,177,3,1,18,"35.729,43",2,2,8,2,2,10,2,2,2,2
CRUCERO DE LA MESA,136,44,6,36,"3.087.129,35","2,68","2,616","1,963",18,166,529,"1,401",32,598,5
CRUZ DE LA LOMA,1,1,1,1,"259.405,35",146,144,128,0,19,26,74,1,35,0
CUAUHTEMOC,299,61,10,50,"528.008,35","4,857","4,545","2,599",17,686,969,"2,945",101,"1,201",7
